Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,51197.00,10500.00,9.16,387.00,Sarajevo,22233.02,103.75,-0.01,BAM,NA,3365.67,1.36,0.43,77.52,1.05,18168579578.20,NA,0.23,0.10,0.10,5.20,Tuzla Canton,NA,76.91,NA,11.00,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3323925.00,3301000.00,?0.69%
Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,1566000.00,17500.00,23.96,976.00,Ulaanbaatar,20839.56,172.21,0.01,MNT,NA,2017.51,2.76,0.08,94.13,0.72,11488046881.04,1.04,0.65,0.06,0.06,15.40,Ulaanbaatar,"Khaltmaagiin Battulga (President), Ukhnaagiin Khürelsükh (Prime Minister)",69.29,NA,44.00,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3170216.00,3225167.00,0.02
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,29743.00,49100.00,13.46,374.00,Yerevan,5529.84,124.21,-0.01,AMD,NA,1965.78,1.61,0.12,74.56,0.77,11536590635.83,0.94,0.51,0.04,0.04,11.90,Yerevan,"Armen Sarkissian (President), Nikol Pashinyan (Prime Minister)",74.62,NA,25.00,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2951745.00,2957731.00,0.00
Jamaica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,10991.00,3950.00,16.63,1876.00,Kingston,7422.01,150.75,0.02,JMD,NA,1055.52,2.01,0.31,80.97,1.11,14768134912.42,0.96,0.27,0.06,0.06,13.20,Kingston,"Elizabeth II (Monarch), Patrick Allen (Governor-general), Andrew Holness (Prime Minister)",75.97,5008860000.00,89.00,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2934847.00,2948279.00,0.00
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,13791.00,NA,9.00,1.00,San Juan,NA,NA,NA,NA,NA,NA,1.30,0.56,NA,NA,105034500000.00,0.87,0.85,NA,NA,NA,San Juan,"Donald Trump (President), Wanda Vázquez Garced (Governor)",79.79,NA,14.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3039596.00,2933408.00,?3.49%
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,28748.00,8500.00,11.82,355.00,Tirana,5716.85,115.08,0.01,ALL,NA,2309.37,1.71,0.28,61.42,1.36,13039352743.96,1.10,0.61,0.06,0.06,12.00,Durrës,"Ilir Meta (President), Edi Rama (Prime Minister)",78.35,NA,29.00,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882740.00,2880917.00,?0.06%
Qatar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,11586.00,21500.00,10.15,974.00,Doha,107853.80,115.39,0.03,QAR,NA,15309.43,1.91,0.00,100.00,0.40,167605219780.22,1.04,0.15,0.02,0.02,7.30,Doha,"Tamim bin Hamad Al Thani (Emir), Khalid bin Khalifa bin Abdul Aziz Al Thani (Prime Minister)",78.18,130610060000.00,13.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2781682.00,2832067.00,0.02
Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,65300.00,29650.00,10.70,370.00,Vilnius,12838.17,112.64,0.01,EUR,NA,3821.15,1.70,0.35,67.99,1.16,47168303744.13,1.01,0.66,0.07,0.07,4.30,Vilnius,"Saulius Skvernelis (Prime Minister), Gitanas Naus?da (President)",74.32,NA,10.00,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2801264.00,2759627.00,?1.49%
Namibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,825615.00,15900.00,29.18,264.00,Windhoek,3755.01,146.03,0.07,NA,NA,1584.57,3.42,0.08,66.72,0.76,13244597345.43,1.11,0.09,0.08,0.08,32.30,Windhoek,"Hage Geingob (President), Pohamba Shifeta (Minister), Nangolo Mbumba (Vice President)",64.39,1152430.00,265.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2448301.00,2494530.00,0.02
Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60,11300.00,800.00,39.48,220.00,Banjul,513.38,140.13,0.07,GMD,NA,NA,5.43,0.48,0.00,1.18,1014621519.86,0.97,0.03,0.05,0.05,42.20,Serekunda,"Adama Barrow (President), Sheikh Omar Faye (Minister), Yankuba Sonko (Minister), Isatou Touray (Vice President)",61.19,NA,706.00,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2280094.00,2347706.00,0.03
Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,581730.00,9000.00,23.67,267.00,Gaborone,7033.31,141.14,0.04,BWP,NA,1748.62,2.73,0.19,74.69,0.71,17406530780.72,1.05,0.23,0.05,0.05,32.60,Gaborone,"Mokgweetsi Masisi (President), Slumber Tsogwane (Vice President)",66.80,977610000.00,129.00,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2254068.00,2303697.00,0.02
Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20,267667.00,6700.00,29.51,241.00,Libreville,5192.47,111.30,0.02,XAF,NA,1172.89,3.79,0.89,24.20,0.92,14622880885.68,1.39,0.08,0.03,0.03,34.30,Libreville,"Ali Bongo Ondimba (President), Julien Nkoghe Bekale (Prime Minister)",66.11,NA,291.00,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2119275.00,2172579.00,0.03
Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,30355.00,2000.00,27.87,266.00,Maseru,2467.89,142.67,0.07,NA,NA,NA,3.09,0.02,0.00,0.70,2639386291.43,1.04,0.09,0.12,0.12,72.40,Maseru,"Tom Thabane (Prime Minister), Monyane Moleleki (Deputy prime minister)",54.17,NA,487.00,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2108328.00,2125268.00,0.01
Republic of North Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50,25713.00,15600.00,11.28,389.00,Skopje,7510.02,110.91,0.00,MKD,NA,3497.00,1.53,0.40,79.28,1.11,11337827331.68,0.94,0.41,0.07,0.07,10.70,Skopje,"Stevo Pendarovski (President), Oliver Spasovski (Prime Minister)",75.70,NA,8.00,213.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2082957.00,2083459.00,0.00
