Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
China,1778.30,6135.00,238.20,825.00,61.10,544.00,0.00,0.00,2077.60,7504.00,0.56,9596961.00,2695000.00,12.00,86.00,Beijing,10291926.88,119.09,0.02,CNY,NA,3927.04,1.62,0.22,87.48,0.96,12237700479375.00,1.01,0.48,0.05,0.05,8.50,Shanghai,"Xi Jinping (President), Li Keqiang (Premier)",76.25,8711267220000.00,27.00,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1427647786.00,1433783686.00,0.00
India,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,59.39,0.60,3287263.00,2981050.00,19.01,91.00,New Delhi,2238377.14,160.13,0.05,INR,NA,805.60,2.33,0.24,73.46,0.97,2936000000000.00,1.15,0.27,0.04,0.04,34.60,Bahadurgarh,"Narendra Modi (Prime Minister), Ram Nath Kovind (President), Subrahmanyam Jaishankar (Minister), Smriti Irani (Minister), Ravi Shankar Prasad (Minister), Gajendrasingh Shekhawat (Minister), Amit Shah (Minister), Mahendra Nath Pandey (Minister), D. V. Sadananda Gowda (Minister), Ravi Shankar Prasad (Minister)",68.56,2331566700000.00,174.00,0.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1352642280.00,1366417754.00,0.01
United States,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,8671.57,0.44,9833517.00,1348400.00,12.40,1.00,"Washington, D.C.",5254279.29,112.41,0.01,USD,NA,12984.33,1.80,0.34,82.78,0.71,21439000000000.00,0.99,0.72,0.18,0.18,5.60,New York,"Donald Trump (President), Mike Pence (Vice President), G. T. Bynum (Mayor)",78.69,32120702650000.00,14.00,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327096265.00,329064917.00,0.01
Indonesia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,1904569.00,675500.00,18.99,62.00,Jakarta,464176.19,142.18,0.04,IDR,NA,811.90,2.36,0.50,65.56,0.63,1015539017536.50,1.03,0.28,0.03,0.03,22.20,Kalimantan,"Joko Widodo (President), Sri Mulyani Indrawati (Minister), Ma'ruf Amin (Vice President)",69.19,520686680000.00,126.00,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267670543.00,270625568.00,0.01
Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,881913.00,935800.00,28.23,92.00,Islamabad,166298.45,156.91,0.04,PKR,NA,471.04,3.48,0.02,59.70,0.79,304400000000.00,0.98,0.10,0.03,0.03,64.20,Karachi,"Imran Khan (Prime Minister), Arif Alvi (President)",66.48,91863740000.00,178.00,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212228286.00,216565318.00,0.02
Brazil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,8515767.00,729500.00,14.16,55.00,Brasília,529808.16,155.67,0.09,BRL,NA,2601.37,1.73,0.59,59.12,1.02,2055505502224.73,1.15,0.51,0.09,0.09,13.50,Jaú,"Jair Bolsonaro (President), Hamilton Mourão (Vice President)",75.51,954715100000.00,44.00,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209469323.00,211049527.00,0.01
Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,923768.00,200000.00,38.89,234.00,Abuja,96280.75,214.23,0.16,NGN,NA,144.48,5.53,0.08,19.04,0.46,375770713742.76,0.94,0.10,0.06,0.06,66.90,Lagos,"Muhammadu Buhari (President), Yemi Osinbajo (Vice President), Godswill Akpabio (Minister), Babatunde Fashola (Minister), Heineken Lokpobiri (Minister), Chris Ngige (Minister), Rauf Aregbesola (Minister), Ogbonnaya Onu (Minister), Abubakar Malami (Minister), Geoffrey Onyeama (Minister)",53.43,37217620000.00,814.00,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195874683.00,200963599.00,0.03
Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,147570.00,220950.00,18.95,880.00,Dhaka,73189.65,161.14,0.06,BDT,NA,310.39,2.10,0.11,73.77,1.12,249723887765.42,1.19,0.17,0.04,0.04,28.20,Dhaka,"Sheikh Hasina (Prime Minister), Mustafa Jabbar (Minister), AK Abdul Momen (Minister), Mustafa Kamal (Minister), Dipu Moni (Minister), Abdur Razzak (Minister), Anisul Huq (Minister), Yafes Osman (Minister), Tipu Munshi (Minister), Hasan Mahmud (Minister)",72.49,86178750000.00,176.00,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161376708.00,163046161.00,0.01
Russia,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,0.13,17098240.00,1454000.00,12.90,7.00,Moscow,1705345.68,168.17,0.07,RUB,NA,6602.66,1.75,0.50,90.22,0.59,1577524145963.17,1.02,0.82,0.06,0.06,6.60,Moscow,"Vladimir Putin (President), Mikhail Mishustin (Prime Minister)",71.59,623424900000.00,25.00,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145734038.00,145872256.00,0.00
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1972550.00,336050.00,18.17,52.00,Mexico City,480270.66,130.20,0.03,MXN,NA,2090.18,2.18,0.34,90.45,0.73,1149918794765.73,1.04,0.37,0.06,0.06,12.60,Mexico City,Andrés Manuel López Obrador (President),77.12,417020520000.00,38.00,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126190788.00,127575529.00,0.01
Japan,53.00,53.00,53.00,53.00,53.00,53.00,53.00,53.00,53.00,53.00,0.12,377944.00,260890.00,7.80,81.00,Tokyo,1214048.36,103.96,0.00,JPY,NA,7819.71,1.44,0.68,93.72,1.06,4872136945507.59,0.99,0.63,0.10,0.10,2.00,Keihanshin,"Koichi Yamamoto (Minister), Shinz? Abe (Prime Minister), Akiko Sant? (President)",83.98,6222825210000.00,5.00,6.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127202192.00,126860301.00,?0.27%
Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,1104300.00,138000.00,31.78,251.00,Addis Ababa,11598.72,249.09,0.07,ETB,NA,69.72,4.20,0.12,6.11,0.75,80561496133.92,1.02,0.08,0.04,0.04,41.00,Ogaden,"Sahle-Work Zewde (President), Abiy Ahmed (Prime Minister), Demeke Mekonnen (Deputy prime minister)",65.48,NA,353.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109224414.00,112078730.00,0.03
Philippines,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,300000.00,165500.00,23.21,63.00,Manila,105653.60,120.21,0.02,PHP,NA,699.21,2.93,0.27,61.99,0.86,313595208737.27,1.13,0.35,0.05,0.05,21.50,Manila,"Rodrigo Duterte (President), Leni Robredo (Vice President)",69.09,290401420000.00,114.00,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106651394.00,108116615.00,0.01
Egypt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,1001450.00,835500.00,26.49,20.00,Cairo,201894.02,231.11,0.14,EGP,NA,1657.77,3.27,0.00,95.97,0.40,235369129337.71,1.04,0.34,0.05,0.05,19.40,Cairo,Abdel Fattah el-Sisi (President),71.48,46546100000.00,33.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98423598.00,100388073.00,0.02
Vietnam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,331210.00,522000.00,16.69,84.00,Hanoi,166910.84,155.80,0.03,VND,NA,1410.91,1.95,0.48,69.82,0.80,223863996354.66,1.10,0.28,0.07,0.07,17.30,Ho Chi Minh City,"Nguy?n Xuân Phúc (Prime Minister), ??ng Th? Ng?c Th?nh (Vice President), Nguy?n Phú Tr?ng (President), Tr??ng Hòa Bình (Deputy prime minister)",76.25,116657040000.00,54.00,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95545962.00,96462106.00,0.01
Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,2344858.00,134250.00,42.28,243.00,Kinshasa,4671.76,133.85,0.02,CDF,NA,108.58,6.11,0.67,5.36,1.49,37241300948.66,1.08,0.07,0.06,0.06,72.00,Kinshasa,"Félix Tshisekedi (President), Aimé Boji (Minister), Edouard Kiove Kola (Minister), Sylvestre Ilunga (Prime Minister)",59.62,NA,693.00,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84068091.00,86790567.00,0.03
Germany,247.27,247.27,247.27,247.27,247.27,247.27,247.27,247.27,247.27,247.27,0.48,357022.00,179100.00,9.30,49.00,Berlin,719883.44,109.28,0.00,EUR,NA,7035.48,1.50,0.33,79.81,1.39,3677439129776.60,1.02,0.66,0.11,0.11,3.20,Berlin,"Angela Merkel (Chancellor), Frank-Walter Steinmeier (President), Andreas Voßkuhle (President), Horst Seehofer (Minister), Peter Altmaier (Minister)",80.64,2262222570000.00,6.00,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83124418.00,83517045.00,0.00
Turkey,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,783562.00,512000.00,16.24,90.00,Ankara,345981.45,174.97,0.08,TRY,NA,2854.57,2.05,0.15,87.59,1.42,851102411118.12,1.03,0.95,0.06,0.06,10.90,Istanbul,"Recep Tayyip Erdo?an (President), Fuat Oktay (Vice President)",75.76,227511820000.00,16.00,3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82340088.00,83429615.00,0.01
Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,1648195.00,563000.00,16.54,98.00,Tehran,649480.71,339.72,0.09,IRR,NA,2985.69,1.66,0.07,98.99,0.40,439513511620.59,1.09,0.69,0.07,0.07,13.00,Tehran,"Hassan Rouhani (President), Ali Khamenei (Supreme leader), Eshaq Jahangiri (Vice President)",75.95,106328700000.00,25.00,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81800188.00,82913906.00,0.01
Thailand,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,513120.00,454550.00,10.33,66.00,Bangkok,316212.74,111.29,0.00,THB,NA,2539.61,1.48,0.32,79.75,0.71,455220920571.13,1.01,0.46,0.04,0.04,10.50,Bangkok,"Vajiralongkorn (Monarch), Prayut Chan-o-cha (Prime Minister), Prayut Chan-o-cha (Minister), Anupong Paochinda (Minister), Suriya Jungrungreangkit (Minister), Don Pramudwinai (Minister), Chatumongol Sonakul (Minister), Uttam Sawanon (Minister), Anutin Charnvirakul (Minister), Thonmanat Phromphan (Minister)",75.30,548795410000.00,20.00,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68863514.00,69037513.00,0.00
United Kingdom,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,243610.00,150250.00,11.80,44.00,London,419820.16,115.57,0.01,GBP,NA,5129.53,1.80,0.13,80.71,1.46,2622433959604.16,1.02,0.57,0.09,0.09,3.70,Northop,"Boris Johnson (Prime Minister), Justine Greening (Minister), Natalie Evans, Baroness Evans of Bowes Park (Minister)",80.96,1868152970000.00,9.00,10.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67141684.00,67530172.00,0.01
France,343.62,343.62,343.62,343.62,343.62,343.62,343.62,343.62,343.62,343.62,0.52,643801.00,306100.00,11.70,33.00,Paris,303275.57,106.86,0.00,EUR,NA,6939.52,1.96,0.31,46.63,1.39,2582501307216.42,1.07,0.65,0.12,0.12,3.20,Paris,"Emmanuel Macron (President), Édouard Philippe (Prime Minister), Jean-Yves Le Drian (Minister), Nicole Belloubet (Minister), Christophe Castaner (Minister), Franck Riester (Minister), Élisabeth Borne (Minister)",82.27,2749314584104.38,8.00,11.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64990511.00,65129728.00,0.00
Italy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,301340.00,356850.00,7.80,39.00,Rome,320411.46,108.71,0.00,EUR,NA,5002.41,1.35,0.32,79.15,1.61,1934797937411.33,1.01,0.63,0.09,0.09,2.80,Rome,"Sergio Mattarella (President), Teresa Bellanova (Minister), Luciana Lamorgese (Minister), Luigi Di Maio (Minister), Stefano Patuanelli (Minister), Dario Franceschini (Minister), Nunzia Catalfo (Minister), Roberto Gualtieri (Minister), Roberto Speranza (Minister), Paola De Micheli (Minister)",82.54,587312440000.00,4.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60627291.00,60550075.00,?0.13%
South Africa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,1221037.00,81400.00,20.98,27.00,Pretoria,489771.85,146.05,0.06,ZAR,NA,4198.40,2.46,0.08,86.91,0.92,349419343614.09,1.03,0.20,0.09,0.09,34.20,Johannesburg,"Cyril Ramaphosa (President), David Mabuza (Vice President)",62.77,1230977190000.00,138.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57792518.00,58558270.00,0.01
Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,947303.00,28400.00,38.19,255.00,Dodoma,11562.05,175.04,0.05,TZS,NA,99.17,5.02,0.52,14.38,0.87,52090320325.47,0.81,0.04,0.07,0.07,40.30,Dar es Salaam,"John Magufuli (President), Samia Suluhu (Vice President), Charles Mwijage (Minister), Kassim Majaliwa (Prime Minister)",65.68,398100000.00,398.00,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56313438.00,58005463.00,0.03
Myanmar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,676578.00,513250.00,17.79,95.00,Naypyidaw,21631.63,144.61,0.07,MMK,NA,216.78,2.21,0.44,39.33,0.54,69322122755.85,1.12,0.16,0.02,0.02,40.10,Yangon,"Henry Van Thio (Vice President), Win Myint (President), Myint Swe (Vice President)",66.61,NA,178.00,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53708320.00,54045420.00,0.01
Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,580367.00,29100.00,31.31,254.00,Nairobi,14286.63,172.43,0.06,KES,NA,166.74,3.85,0.08,17.15,0.95,74938190654.86,1.05,0.04,0.05,0.05,35.60,Nairobi,"Uhuru Kenyatta (President), William Ruto (Vice President)",67.03,10202610000.00,510.00,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51392565.00,52573973.00,0.02
South Korea,752.56,752.56,752.56,752.56,752.56,752.56,752.56,752.56,752.56,752.56,0.18,99720.00,634000.00,7.90,82.00,Seoul,587156.37,113.05,0.01,KRW,"South Korea, officially the Republic of Korea is a country in East Asia, constituting the southern part of the Korean Peninsula and sharing a land border with North Korea.",10496.51,1.17,0.63,82.04,1.22,2029000000000.00,0.98,0.93,0.08,0.08,2.90,Seoul,"Moon Jae-in (President), Chung Sye-kyun (Prime Minister), Yoo Il-ho (Acting Prime Minister)",82.02,1771767930000.00,11.00,6.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51171706.00,51225308.00,0.00
Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40,1141748.00,481100.00,15.20,57.00,Bogotá,84091.64,131.88,0.08,COP,NA,1289.57,1.85,0.53,76.69,0.68,309191382833.37,1.14,0.59,0.07,0.07,13.10,Bogotá,"Iván Duque Márquez (President), Amilkar Acosta Medina (Minister), Marta Lucía Ramírez (Vice President)",74.38,121477230000.00,64.00,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49661048.00,50339443.00,0.01
Spain,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53,505990.00,197950.00,8.70,34.00,Madrid,233976.60,108.38,0.00,EUR,NA,5355.99,1.33,0.37,72.94,1.26,1311320015515.99,1.04,0.91,0.10,0.10,2.70,Foz-Calanda,"King Felipe VI of Spain (Monarch), Iñigo Urkullu (Head of government), Pedro Sánchez (Prime Minister)",82.83,888837580000.00,5.00,5.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46692858.00,46736776.00,0.00
Argentina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,2780400.00,105450.00,17.17,54.00,Buenos Aires,204024.55,NA,0.11,ARS,NA,3052.38,2.29,0.10,88.54,1.10,637590419269.32,1.10,0.86,0.08,0.08,9.90,Buenos Aires,Alberto Fernández (President),76.58,108740050000.00,52.00,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44361150.00,44780677.00,0.01
Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,241038.00,46400.00,42.14,256.00,Kampala,5229.14,166.25,0.05,UGX,NA,NA,5.59,0.10,NA,0.94,25891058946.19,1.00,0.05,0.08,0.08,37.70,Buganda,"Yoweri Museveni (President), Ruhakana Rugunda (Prime Minister), Edward Ssekandi (Vice President)",59.89,NA,343.00,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42729036.00,44269594.00,0.04
Ukraine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,603550.00,292000.00,10.30,380.00,Kyiv,227299.00,235.30,0.14,UAH,NA,3418.59,1.47,0.17,75.33,0.83,112154185121.41,1.00,0.83,0.08,0.08,7.80,Kyiv,"Volodymyr Zelensky (President), Oleksiy Honcharuk (Prime Minister)",71.48,25654060000.00,24.00,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44246156.00,43993638.00,?0.57%
Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,2381741.00,317200.00,23.13,213.00,Algiers,145400.22,142.38,0.06,DZD,NA,1356.26,2.78,0.01,99.98,0.28,170370810917.97,1.14,0.43,0.05,0.05,21.60,Kabylie,"Abdelmadjid Tebboune (President), Abdelaziz Djerad (Prime Minister)",76.08,NA,140.00,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42228408.00,43053054.00,0.02
Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,1886068.00,124300.00,32.93,249.00,Khartoum,15364.73,349.82,0.18,SDG,NA,190.22,4.53,0.08,31.76,0.95,117487857142.86,0.74,0.17,0.07,0.07,44.80,Khartoum,"Nasredeen Abdulbari (Minister), Faisal Saleh (Minister), Wala'a Essam al-Boushi (Minister), Intisar el-Zein Soughayroun (Minister), Lena el-Sheikh Mahjoub (Minister), Akram Ali Altom (Minister), Ibrahim Elbadawi (Minister), Issa Osman Sharif (Minister), Mohammed el-Amin el-Tom (Minister), Adel Ibrahim (Minister)",64.49,NA,311.00,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41801533.00,42813238.00,0.02
Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,437072.00,209000.00,33.21,964.00,Baghdad,168443.65,119.38,0.01,IQD,NA,1305.69,4.37,0.02,97.27,0.61,197715736040.61,1.08,0.16,0.04,0.04,25.90,Baghdad,"Barham Salih (President), Mohammed Tawfiq Allawi (Prime Minister)",69.86,NA,50.00,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38433600.00,39309783.00,0.02
Afghanistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,652230.00,323000.00,33.21,93.00,Kabul,9809.23,137.90,0.02,AFN,NA,NA,4.64,0.02,NA,0.70,20815300220.04,1.05,0.08,0.09,0.09,53.20,Kabul,"Ashraf Ghani (President), Sarwar Danish (Vice President), Abdullah Abdullah (Chief executive), Abdul Rashid Dostum (Vice President)",63.67,NA,396.00,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37171921.00,38041754.00,0.02
Poland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,312685.00,178400.00,10.10,48.00,Warsaw,285739.97,109.64,-0.01,PLN,NA,3971.80,1.32,0.31,89.86,1.07,524509565263.41,1.10,0.67,0.07,0.07,4.00,Warsaw,"Andrzej Duda (President), Krzysztof Tchórzewski (Minister), Mateusz Morawiecki (Prime Minister)",77.45,201392890000.00,3.00,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37921592.00,37887768.00,?0.09%
Canada,600.60,600.60,600.60,600.60,600.60,600.60,600.60,600.60,600.60,600.60,0.07,9984670.00,67500.00,10.80,1.00,Ottawa,537193.50,111.98,0.01,CAD,NA,15545.54,1.60,0.38,73.59,0.81,1653042795255.04,1.01,0.59,0.11,0.11,4.30,Toronto,"Justin Trudeau (Prime Minister), Marc Garneau (Minister), Julie Payette (Governor-general), Chrystia Freeland (Deputy prime minister)",82.30,2367059920000.00,7.00,9.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37074562.00,37411047.00,0.01
Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,446550.00,245800.00,19.97,212.00,Rabat,59863.78,108.77,0.02,MAD,NA,901.13,2.49,0.13,88.47,0.99,109139484007.43,1.10,0.32,0.06,0.06,23.30,Casablanca,"Mohammed VI of Morocco (Monarch), Saad-Eddine El Othmani (Prime Minister)",75.82,67048480000.00,121.00,1.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36029093.00,36471769.00,0.01
Saudi Arabia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,2149690.00,251500.00,19.56,966.00,Riyadh,601046.97,122.08,0.04,SAR,NA,9444.22,2.53,0.00,100.00,0.24,683827144288.54,1.16,0.67,0.03,0.03,11.10,Riyadh,"Salman of Saudi Arabia (King), Mohammed Al-Jadaan (Minister)",74.56,451378840000.00,12.00,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33702756.00,34268528.00,0.02
Uzbekistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,448978.00,68000.00,22.80,998.00,Tashkent,105213.56,NA,NA,UZS,NA,1645.44,2.46,0.08,97.74,1.03,48717685984.03,1.03,0.09,0.06,0.06,21.40,Tashkent,"Abdulla Oripov (Prime Minister), Shavkat Mirziyoyev (President)",71.31,NA,36.00,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32476244.00,32981716.00,0.02
Peru,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,1285216.00,158000.00,19.28,51.00,Lima,61744.95,125.42,0.04,PEN,NA,1307.51,2.40,0.58,79.56,0.99,211389272242.16,1.03,0.34,0.05,0.05,11.90,Lima,"Martín Vizcarra (President), Sonia Guillén (Minister), Ariela Luna (Minister), Vicente Zeballos (Prime Minister)",74.98,99217960000.00,68.00,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31989260.00,32510453.00,0.02
Malaysia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,329847.00,133600.00,17.05,60.00,Kuala Lumpur,242821.41,119.61,0.02,MYR,NA,4596.33,2.04,0.68,96.63,0.45,314500279043.81,1.03,0.44,0.04,0.04,7.10,Kuala Lumpur,"Mahathir Mohamad (Prime Minister), Wan Azizah Wan Ismail (Deputy prime minister)",75.30,455772490000.00,40.00,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31528033.00,31949777.00,0.01
Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,1246700.00,117000.00,41.82,244.00,Luanda,34763.16,280.76,0.35,AOA,NA,312.48,5.69,0.46,48.28,0.97,124209385825.22,1.19,0.09,0.03,0.03,54.60,Luanda,João Lourenço (President),61.55,NA,477.00,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30809787.00,31825295.00,0.03
Mozambique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,801590.00,11200.00,38.95,258.00,Maputo,8426.77,170.70,0.10,MZN,NA,462.62,5.24,0.48,12.60,0.65,12333859926.28,1.06,0.07,0.06,0.06,53.10,Maputo,Filipe Nyusi (President),58.31,NA,489.00,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29496004.00,30366036.00,0.03
