Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Netherlands,0,0,0,0,0,0,0,0,0,0,0.55,41543,41310,10.1,31,167303.21,111.04,0,NA,NA,6712.77,1.66,0.11,91.36,1.68,8.26E+11,1.03,0.8,0.12,0.12,3.2,81.51,1.10E+12,7,10.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17059560,17097130,0
Syria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,185180,307500,21.47,963,30703.79,143.2,0.37,SYP,NA,949.59,2.92,0.03,97.66,0.83,40405006007,0.76,0.39,0.03,0.03,14.2,70.31,NA,68,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16945057,17070135,0.01
Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,181035,191300,23.3,855,6684.94,124.57,0.03,KHR,NA,271.43,2.56,0.54,30.68,0.9,22158209503,1.1,0.13,0.05,0.05,26.3,68.98,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16249792,16486542,0.01
Senegal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,196722,18600,35.6,221,8855.81,106.87,0.01,XOF,NA,223.5,4.77,0.43,53.67,1.14,16374743753,0.83,0.11,0.05,0.05,33.6,67.15,NA,315,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15854323,16296364,0.03
Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1284000,39850,43.33,235,729.73,115.91,0.04,XAF,NA,NA,5.95,0.04,NA,0.78,9981303726,0.88,0.03,0.03,0.03,75.2,52.9,NA,856,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15477729,15946876,0.03
Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,637657,19800,43.36,252,608.72,NA,NA,SOS,NA,NA,6.27,0.1,NA,1.41,7368560695,0.24,0.02,NA,NA,82.6,56.29,NA,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15008226,15442905,0.03
Zimbabwe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,390757,50800,33.14,263,12020.43,105.51,-0.02,NA,NA,537,3.76,0.36,29.1,1.34,17845821400,0.99,0.08,NA,NA,40,61.16,2460690000,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14438802,14645468,0.01
Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,245857,12300,35.91,224,2449.56,218.71,0.08,GNF,NA,NA,4.86,0.26,NA,0.9,10491474930,0.94,0.11,0.06,0.06,58.3,60.02,NA,679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12414293,12771246,0.03
Rwanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,26338,35000,31.11,250,839.74,146.63,0.06,RWF,NA,NA,3.89,0.19,NA,1.17,9136689514,1.37,0.08,0.11,0.11,29.2,67.13,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12301970,12626950,0.03
Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,114763,9750,37.03,229,6318.24,108.97,-0.01,XOF,NA,100.23,4.98,0.38,44.38,0.72,9273558272,1.32,0.13,0.04,0.04,63.1,60.91,NA,405,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11485044,11801151,0.03
Tunisia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,163610,47800,18.3,216,28829.95,138.44,0.04,TND,NA,1444.11,2.2,0.07,88.36,0.73,40256675209,1.15,0.33,0.07,0.07,11.7,75.73,8922590000,62,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11565201,11694719,0.01
Belgium,50,50,50,50,50,50,50,50,50,50,0.44,30528,33800,10.8,32,93350.82,113.13,0.02,EUR,NA,7709.12,1.7,0.23,75.75,1.43,4.93E+11,1.03,0.75,0.11,0.11,3.1,80.99,4.38E+11,7,1501.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11482178,11539328,0.01
Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,1098581,71200,23.25,591,20410.52,142.4,0.04,BOB,NA,752.69,2.88,0.51,85.2,0.71,37508642113,0.98,NA,0.06,0.06,29.5,69.13,NA,206,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11353142,11513100,0.01
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,109884,75500,10.87,53,34836.5,NA,NA,CUC,NA,1434.03,1.72,0.31,85.76,1.4,87132800000,1.01,0.34,0.09,0.09,4.2,79.74,NA,39,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11338134,11333483,?0.04%
Haiti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,27750,200,24.18,509,2860.26,181.49,0.14,HTG,NA,38.97,2.92,0.04,22.02,0.81,8408150518,1.12,0.01,0.06,0.06,50.9,63.33,NA,359,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11123178,11263770,0.01
South Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644329,185000,35.94,211,1496.14,4583.71,3.81,SSP,NA,39.89,4.86,NA,72.22,0.28,2904114903,0.67,NA,0.03,0.03,59.2,56.81,NA,789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10975927,11062113,0.01
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79,27834,51050,42.25,257,440.04,188.68,0.06,BIF,NA,NA,5.7,0.11,NA,1.21,3477502178,1.31,0.05,0.08,0.08,48.4,57.48,NA,712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10524117,10864245,0.03
Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,48670,71050,20.17,1,21539.96,128.64,0.02,DOP,NA,1578.15,2.42,0.41,86.54,1.07,75931656815,1.02,0.53,0.05,0.05,25.5,73.86,NA,92,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10627141,10738958,0.01
Czech Republic,106.96,106.96,106.96,106.96,106.96,106.96,106.96,106.96,106.96,106.96,0.55,78866,23200,10.7,420,96475.1,110.87,0.01,CZK,NA,6258.89,1.57,0.35,75.96,1.17,2.16E+11,0.99,0.64,0.08,0.08,2.5,78.33,40912350000,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10665677,10689209,0
Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,131957,145350,8.6,30,67318.79,101.06,-0.01,EUR,NA,5062.61,1.33,0.31,85.12,1.54,2.00E+11,0.95,1.17,0.09,0.09,3.1,81.04,50605060000,3,683.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10522246,10473455,?0.46%
Portugal,0,0,0,0,0,0,0,0,0,0,0.4,92212,74500,8.4,351,45052.76,109.17,0.01,EUR,NA,4662.6,1.31,0.35,76.88,1.54,2.18E+11,1.05,0.63,0.09,0.09,2.9,81.13,75589628812,10,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10256193,10226187,?0.29%
Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,89342,115500,26.47,962,26450.07,119.34,-0.01,JOD,NA,1888.12,3.38,0.01,97.61,1.1,40068308516,1,0.36,0.1,0.1,15.1,74.33,23968560000,58,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9965318,10101694,0.01
Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,86600,81950,16.3,994,37487.74,149.47,0.04,AZN,NA,2202.39,1.94,0.14,98.37,0.56,39207000000,1.06,0.27,0.05,0.05,27.2,72.03,3220000,25,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9949537,10047718,0.01
Sweden,464.47,464.47,464.47,464.47,464.47,464.47,464.47,464.47,464.47,464.47,0.07,450295,30550,11.8,46,43420.95,106.49,0.01,SEK,NA,13480.15,1.85,0.69,26.84,1.42,5.38E+11,1.23,0.62,0.1,0.1,2.4,82.2,2.90E+11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9971638,10036379,0.01
United Arab Emirates,136.89,136.89,136.89,136.89,136.89,136.89,136.89,136.89,136.89,136.89,0.05,83600,63000,9.59,971,211369.55,113.3,0.02,AED,NA,11263.53,1.75,0.04,99.81,0.49,3.83E+11,1.11,0.37,0.03,0.03,6.6,77.26,2.39E+11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9630959,9770529,0.01
Honduras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,112492,22700,21.72,504,9471.86,138.05,0.03,HNL,NA,630.14,2.46,0.41,52.48,0.98,22978532897,0.96,0.2,0.09,0.09,16,73.58,NA,129,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9587522,9746117,0.02
Hungary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,93030,39800,9.7,36,42086.16,114.45,0,HUF,NA,3965.96,1.45,0.23,69.32,1.18,1.39E+11,1.02,0.48,0.08,0.08,4.4,75.57,31553860000,17,2.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9707499,9684679,?0.24%
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,207600,155350,12.4,375,63497.77,288.65,0.12,BYN,NA,3679.98,1.73,0.43,92.44,0.6,54442374373,1.02,0.87,0.05,0.05,2.9,73.83,NA,4,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9452617,9452411,0
Tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,143100,16300,28.84,992,5188.81,148.57,0.06,TJS,NA,1479.78,3.36,0.03,54.9,0.71,7145701019,0.99,0.31,0.06,0.06,37.1,71.05,NA,32,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9100835,9321018,0.02
Austria,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0.33,83871,22400,10,43,58712.34,114,0.01,EUR,NA,8355.84,1.49,0.47,66,1.2,4.17E+11,1.02,0.83,0.11,0.11,2.9,80.89,1.51E+11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8891388,8955102,0.01
