Country,2017INv,2017Emp,2018INv,2018Emp,2019Inv,2019Emp,2020Inv,2020Emp,TotalInv,TotalEmp,C1,C2,C3,C4,C5,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C25,C26,C27,C28,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,c60,c61,c62
Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,51197,10500,9.16,387,22233.02,103.75,-0.01,BAM,NA,3365.67,1.36,0.43,77.52,1.05,18168579578,NA,0.23,0.1,0.1,5.2,76.91,NA,11,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3323925,3301000,?0.69%
Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,1566000,17500,23.96,976,20839.56,172.21,0.01,MNT,NA,2017.51,2.76,0.08,94.13,0.72,11488046881,1.04,0.65,0.06,0.06,15.4,69.29,NA,44,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3170216,3225167,0.02
Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,29743,49100,13.46,374,5529.84,124.21,-0.01,AMD,NA,1965.78,1.61,0.12,74.56,0.77,11536590636,0.94,0.51,0.04,0.04,11.9,74.62,NA,25,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2951745,2957731,0
Jamaica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,10991,3950,16.63,1876,7422.01,150.75,0.02,JMD,NA,1055.52,2.01,0.31,80.97,1.11,14768134912,0.96,0.27,0.06,0.06,13.2,75.97,5008860000,89,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2934847,2948279,0
Puerto Rico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,13791,NA,9,1,NA,NA,NA,NA,NA,NA,1.3,0.56,NA,NA,1.05E+11,0.87,0.85,NA,NA,NA,79.79,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3039596,2933408,?3.49%
Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,28748,8500,11.82,355,5716.85,115.08,0.01,ALL,NA,2309.37,1.71,0.28,61.42,1.36,13039352744,1.1,0.61,0.06,0.06,12,78.35,NA,29,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2882740,2880917,?0.06%
Qatar,0,0,0,0,0,0,0,0,0,0,0.06,11586,21500,10.15,974,107853.8,115.39,0.03,QAR,NA,15309.43,1.91,0,100,0.4,1.68E+11,1.04,0.15,0.02,0.02,7.3,78.18,1.31E+11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2781682,2832067,0.02
Lithuania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,65300,29650,10.7,370,12838.17,112.64,0.01,EUR,NA,3821.15,1.7,0.35,67.99,1.16,47168303744,1.01,0.66,0.07,0.07,4.3,74.32,NA,10,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2801264,2759627,?1.49%
Namibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,825615,15900,29.18,264,3755.01,146.03,0.07,NA,NA,1584.57,3.42,0.08,66.72,0.76,13244597345,1.11,0.09,0.08,0.08,32.3,64.39,1152430,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2448301,2494530,0.02
Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,11300,800,39.48,220,513.38,140.13,0.07,GMD,NA,NA,5.43,0.48,0,1.18,1014621520,0.97,0.03,0.05,0.05,42.2,61.19,NA,706,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2280094,2347706,0.03
